name,label,coef
,COMMON WHEAT,1
,DURUM WHEAT,1.02
,TRITICALE,0.97
112,YECORA ROJO,1.02
1478,SY CAL ROJO,0.99
1495,UC LASSIK,0.95
1550,WB TRIPLE IV,1.09
1590,SY ULTRA,0.98
1608,DPG FV 2808,0.92
1657,SY BLANCA GRANDE 515,1.03
1658,SY SUMMIT 515,0.98
1667,BAG NEW DIRKWIN,0.85
1680,UC PATWIN 515,0.96
1688,LCS STAR,0.98
1723,LCS ATOMO,1.02
1728,WB JOAQUIN ORO,1.08
1730,WB 9229,0.98
1731,WB PATRON,0.99
1743,UC PATWIN 515 HP,1.01
1745,UC YUROK,0.95
1748,WB 9112,1.04
1749,WB 7618,0.98
1751,WB 9904,0.96
1802,WB 7566,1.02
1815,UC CENTRAL WHITE,1.03
1817,UC CENTRAL RED,1.04
1819,APB 500709,1.08
1828,APB 501089,1.09
1835,SY SIENNA,0.99
1842,WB 9350,1.02
1877,AP VENOM,0.98
1878,AP OCTANE,1.03
1887,WB 9490,1.04
1888,WB 9699,1.01
20,UC ANZA,0.93
1210,DPG PLATINUM,1
1215,WB ORITA,0.99
1375,UC DESERT KING,0.96
1429,SY FORTISSIMO,0.99
1431,SY VOLANTE,1
1479,WB HAVASU,1.1
1484,WESTMORE HP,1.07
1582,AS MAESTRALE,0.98
1583,AS SARAGOLLA,1
1607,WB MEAD,0.96
1627,UC DESERT KING HP,0.96
1640,TIBURON,1.04
1654,WB MOHAVE,1.08
1690,UC MIWOK,1.01
1800,AS COLOMBO,0.93
1813,ALBERTO,1.1
1850,UC DESERT GOLD,0.9
1868,POWELL,1.11
1869,SHASTA,1.11
951,KRONOS,1.09
3164,WB PACHECO,1.03
3169,NS TRICAL 158EP,0.98
3170,NS TRICAL 115T,0.98
3178,NS GOLD RUSH 91,1.05
3188,NS SWIFT 77,0.79
